0;AMAZONAS;6;5;2016;5;15;LA VERDAD;-6.70693;-77.80351;;;
1;AMAZONAS;4;8;2016;8;6;SAN PEDRO;-6.21568;-78.32062;;;
3;AMAZONAS;4;10;2016;10;SN;COMUNIDAD SAWIENTSA MICHANAK;-5.16457;-78.28751;;;
5;AMAZONAS;1;9;2016;9;SN;CCNN CENTRO DE WAWIK;-12.02416;-76.91823;;;
6;AMAZONAS;5;5;2016;5;2;HEROES DEL CENEPA;-5.63742;-78.5627;;;
7;AMAZONAS;30;5;2016;5;SN;SECTOR TOLA;-1.17042;-77.85597;;;
8;AMAZONAS;8;1;2016;1;SN;SECTOR SAN ISIDRO;-12.09898;-77.03384;;;
10;AMAZONAS;8;5;2016;5;SN;COMUNIDAD NATIVA BOCA CHINGANAZA;-4.83096;-76.5545;;;
11;AMAZONAS;25;12;2016;12;SN;SECTOR CHIRAPISHPA;-11.96485;-77.01324;;;
13;AMAZONAS;23;5;2016;5;4;SAN NICOLAS INTERS CON JR ALONSO DE ALVARADO;-6.39531;-77.48166;;;
15;AMAZONAS;23;5;2016;5;4;SAN NICOLAS INTERS CON JR ALONSO DE ALVARADO;-6.39531;-77.48166;;;
17;AMAZONAS;23;5;2016;5;4;SAN NICOLAS INTERS CON JR ALONSO DE ALVARADO;-6.39531;-77.48166;;;
19;AMAZONAS;23;5;2016;5;4;SAN NICOLAS INTERS CON JR ALONSO DE ALVARADO;-6.39531;-77.48166;;;
21;AMAZONAS;29;8;2016;8;SN;SECTOR PANAMA CASERIO LA LIBERTAD;-5.63798;-78.52809;;;
24;AMAZONAS;9;10;2016;10;6;JR. RICARDO PALMA 613;-5.75835;-78.43481;;;
25;AMAZONAS;9;10;2016;10;6;JR. RICARDO PALMA 613;-5.75835;-78.43481;;;
27;AMAZONAS;22;12;2016;12;1.50E+01;BARTOLINA SISA 1538-SECTOR SAN LUIS-BAGUA GRANDE;-5.76051;-78.44551;;;
28;AMAZONAS;29;6;2016;6;1.00E+01;TUPAC KATARI;-5.76313;-78.42694;;;
29;AMAZONAS;10;5;2016;5;SN;PUENTE PUMACHACA AL ANEXO DE LLACTAPAMPA;-6.4133;-77.96722;;;
30;AMAZONAS;12;8;2016;8;SN;DEBAJO DEL PUENTE DENOMINADO COLEGIO RAMON CASTILL;-12.08395;-77.07108;;;
31;AMAZONAS;8;10;2016;10;SN;AL COSTADO DE LA INSTITUCION EDUCATIVA TUPAC AMARU;-17.99447;-70.25668;;;
32;AMAZONAS;30;6;2016;6;SN;ANEXO DURASNILLO;-11.96485;-77.01324;;;
33;ANCASH;10;6;2016;6;SN;AV MARIANO MELGAR - CENTENARIO;-8.39533;-77.4891;;;
34;ANCASH;4;10;2016;10;SN;LUGAR DENOMINADO TOMA;-9.52696;-77.52812;;;
35;ANCASH;22;9;2016;9;1.00E+01;HUARAZ;-9.53958;-77.52301;;;
37;ANCASH;4;7;2016;7;SN;ANYANGA;-9.05546;-78.58284;;;
38;ANCASH;10;8;2016;8;SN;CASCAY A ANRA;-9.23371;-76.92563;;;
39;ANCASH;30;4;2016;4;SN;PATIVILCA 340;-10.69033;-77.7731;;;
40;ANCASH;25;6;2016;6;SN;SAUCE;-10.14812;-77.15608;;;
41;ANCASH;21;3;2016;3;SN;POMABAMBA DISTRITO DE POMABAMBA;-8.81802;-77.457;;;
45;ANCASH;25;8;2016;8;1.00E+00;ENRIQUE PALACIOS;-8.7596;-78.05973;;;
46;ANCASH;2;10;2016;10;2.00E+00;ALFONZO UGARTE;-9.01368;-78.13848;;;
47;ANCASH;2;10;2016;10;2.00E+00;ALFONZO UGARTE;-9.01368;-78.13848;;;
48;ANCASH;6;10;2016;10;SN;SANTA ROSA;-9.07066;-78.58467;;;
49;ANCASH;25;5;2016;5;SN;TANGAY MEDIO- SECTOR MOCHICA- NUEVO CHIMBOTE;-9.05636;-78.58481;;;
50;ANCASH;16;8;2016;8;SN;AA.HH VILLA DEL MAR MZ. D LOTE 38;-9.02311;-78.61747;;;
51;ANCASH;16;8;2016;8;SN;AA.HH VILLA DEL MAR MZ. D LOTE 38;-9.02311;-78.61747;;;
52;ANCASH;17;2;2016;2;SN;CASERIO DE ATMA S/N REF. 100 METROS DE LA CAPILLA;-16.39313;-71.55006;;;
55;ANCASH;3;2;2016;2;SN;CASERIO YAUYOS -CCPP HUASHCAO;-9.54149;-77.5301;;;
56;ANCASH;23;1;2016;1;SN;SECTOR CASERIO DE ALLPAQUITA;-11.96847;-77.01063;;;
57;ANCASH;22;9;2016;9;SN;CASERIO MITUAN BAJO;-9.15304;-78.28009;;;
59;ANCASH;19;6;2016;6;SN;CAMINO DE LA HERRADURA HACIA SHANOC REF. CARATA DE PACCHA;-9.25743;-77.61475;;;
61;ANCASH;24;7;2016;7;SN;AV. MARGINAL SECTOR 01;-9.04607;-78.59316;;;
62;ANCASH;10;7;2016;7;SN;CENTRO POBLADO CASCAJAL;-8.94054;-78.52516;;;
63;ANCASH;29;10;2016;10;SN;HUASCAR Y EL PORVENIR;-8.07491;-79.00546;;;
65;ANCASH;9;8;2016;8;SN;SN;-9.05546;-78.58284;;;
66;ANCASH;29;5;2016;5;SN;ORILLAS DEL MALECON GRAU;-12.0982;-77.07061;;;
67;ANCASH;28;12;2016;12;SN;LAS CARMELITAS PJ SAN JUAN;-9.0692;-78.58752;;;
69;ANCASH;17;1;2016;1;1;2 DE MAYO;-9.01263;-78.1367;;;
70;ANCASH;3;1;2016;1;SN;SECTOR PAMPA LA GRAMA SECTOR BRIONES;-7.84837;-79.14588;;;
71;ANCASH;6;3;2016;3;SN;AAHH SANTA IRENE;-8.98636;-78.6164;;;
72;ANCASH;6;3;2016;3;SN;AAHH SANTA IRENE;-8.98636;-78.6164;;;
74;ANCASH;6;3;2016;3;SN;LOS HEROES MZ P LT 15;-9.53912;-77.53273;;;
75;ANCASH;3;5;2016;5;SN;JOSELYN ALVAREZ ASIAN;-8.2613;-77.89882;;;
76;ANCASH;5;2;2016;2;SN;PACIFICO;-10.37241;-77.48765;;;
78;ANCASH;27;9;2016;9;SN;ANEXO PAMPA DE TORO;-9.07252;-77.98169;;;
79;ANCASH;3;8;2016;8;SN;NN;-9.05546;-78.58284;;;
80;ANCASH;16;8;2016;8;SN;NN;-9.05546;-78.58284;;;
81;ANCASH;16;4;2016;4;SN;SN;-9.05546;-78.58284;;;
84;ANCASH;22;5;2016;5;SN;SANTA ROSA Y PUNO;-9.07066;-78.58467;;;
87;ANCASH;5;11;2016;11;SN;CAMBIO PUENTE;-11.85362;-77.09694;;;
88;ANCASH;29;6;2016;6;SN;PENAL CAMBIO PUENTE;-11.85362;-77.09694;;;
89;ANCASH;23;12;2016;12;SN;SANTA ROSA LA VICTORIA;-9.28229;-77.64505;;;
90;ANCASH;29;6;2016;6;SN;PENAL CAMBIO PUENTE;-11.85362;-77.09694;;;
91;ANCASH;29;12;2016;12;SN;NICOLAS GARATEA;-8.97717;-77.18914;;;
92;ANCASH;15;5;2016;5;SN;CAMINO HERRADURA HUAYTAKAKA;-9.25743;-77.61475;;;
93;ANCASH;30;5;2016;5;SN;CASERIO COLCAS;-9.05546;-78.58284;;;
94;ANCASH;18;7;2016;7;SN;MALECON NORTE DEL RIO QUILLCAY;-9.5248;-77.52234;;;
95;ANCASH;10;8;2016;8;SN;SECTOR CHACAPAMPA;-9.05546;-78.58284;;;
100;ANCASH;5;9;2016;9;SN;AUGUSTO B LEGUIA;-8.96066;-77.84002;;;
101;ANCASH;1;5;2016;5;SN;RIO PURHUAY;-9.5411;-77.53038;;;
102;ANCASH;19;8;2016;8;3;CANDELARIA VILLAR;-9.51887;-77.53261;;;
103;ANCASH;13;8;2016;8;SN;CASERIO PARON;-9.51604;-77.53049;;;
104;ANCASH;24;2;2016;2;SN;CATAC CHAVIN DE HUANTAR;-9.58663;-77.17732;;;
105;ANCASH;28;5;2016;5;SN;PAGACITAS;-9.51979;-77.53468;;;
106;ANCASH;13;8;2016;8;SN;CASERIO HUAMANCAYAN;-9.05546;-78.58284;;;
107;ANCASH;10;8;2016;8;SN;SECTOR CHACAPAMPA;-9.05546;-78.58284;;;
110;ANCASH;4;12;2016;12;SN;RIO SANTA SECTOR POCOPAMPA;-8.98738;-78.61428;;;
111;ANCASH;26;8;2016;8;SN;ANEXO SAN MIGUEL  BARRIO DE PUCAPACHA;-10.28551;-77.19971;;;
112;ANCASH;10;12;2016;12;SN;SANTA ROSA DE SANTAJ;-9.45749;-78.29202;;;
114;ANCASH;28;11;2016;11;SN;AAHH RAMIRO PRIALE MZ D LT17;-9.47736;-78.29947;;;
115;ANCASH;29;1;2016;1;SN;CASERIO SAN PEDRO;-10.37183;-77.48718;;;
116;ANCASH;8;6;2016;6;SN;NEP;-9.05546;-78.58284;;;
118;APURÍMAC;27;5;2016;5;SN;COMUNIDAD CAMPESINA CHOQQUECCA;-13.35414;-73.67234;;;
120;APURÍMAC;7;2;2016;2;SN;BARCENAS;-13.6354;-72.88037;;;
121;APURÍMAC;7;2;2016;2;SN;BARCENAS;-13.6354;-72.88037;;;
122;APURÍMAC;7;2;2016;2;SN;BARCENAS;-13.6354;-72.88037;;;
123;APURÍMAC;8;4;2016;4;SN;HUANCA;-14.36694;-72.87594;;;
125;APURÍMAC;20;2;2016;2;SN;PASAJE NEP;-11.77435;-77.17238;;;
126;APURÍMAC;25;2;2016;2;SN;RIO ANTILLA;-11.97428;-76.99562;;;
127;APURÍMAC;22;7;2016;7;SN;VACAS REUDOPAMPA;-13.63271;-72.88916;;;
132;APURÍMAC;7;6;2016;6;SN;TALAVERA  CCACCANCHA;-13.66024;-73.43819;;;
134;APURÍMAC;10;7;2016;7;SN;ANEXO DE CHILLICO PAMPA;-13.84836;-72.08146;;;
135;APURÍMAC;5;1;2016;1;SN;LA CULTURA;-13.52689;-73.66965;;;
